업소명,소재지,위도,경도
금복용호통닭,부산광역시 중구 중구로33번길 32,129.0261887,35.10110274
소풍경 중구점,부산광역시 중구 비프광장로 21-1,129.0275751,35.09882846
1GA-24-12,부산광역시 중구 중앙대로41번길 9-1,129.035259,35.10106158
닭썸,부산광역시 중구 중구로29번길 36,129.0259737,35.10057273
고집파닭,부산광역시 중구 비프광장로 33-2,129.0288503,35.09906101
오복통닭,부산광역시 중구 부평1길 59,129.0258075,35.10218766
닭다리먹고 맴맴,부산광역시 중구 광복로12번길 5,129.026415,35.09902759
훈춘,부산광역시 중구 흑교로59번길 15-1,129.023262,35.1038768
미스터치킨맨,부산광역시 중구 망양로 277,129.0262982,35.10720432
지코바숯불치킨,부산광역시 중구 중구로 148,129.035153,35.10828272
네네치킨,부산광역시 중구 대청로25번길 4,129.0228735,35.1035105
아닥치킨,부산광역시 중구 대청로 21,129.0221371,35.10339053
꾸지뽕 삼계탕,부산광역시 중구 남포길 28,129.0317936,35.09850413
영주대청점굽네치킨,부산광역시 중구 동영로 24,129.0343512,35.10907379
투윙,부산광역시 중구 중구로33번길 32,129.0261887,35.10110274
미정통닭·강정,부산광역시 중구 흑교로 88-1,129.0245875,35.10373939
교촌치킨 영주대청점,부산광역시 중구 중구로 70-1,129.0290187,35.10372885
쏙닭쏙닭,부산광역시 중구 동광길 77,129.0348634,35.10620296
미진축산,부산광역시 중구 보수대로44번길 6-2,129.023862,35.10098723
BHC대청점,부산광역시 중구 대청로 94-1,129.0302126,35.10272715
브이통닭,부산광역시 중구 부평1길 56,129.0259912,35.10196976
국제통닭,부산광역시 중구 중구로47번길 33-1,129.0260377,35.10217669
시장분식,부산광역시 중구 부평1길 58,129.0259922,35.10205088
지코바,부산광역시 서구 송도해변로 125,129.0206701,35.07811845
닭굽는 마을,부산광역시 서구 천해로 10,129.0177511,35.08322696
신김해통닭,부산광역시 서구 구덕로214번길 10,129.020682,35.10368224
뉴거인통닭,부산광역시 서구 구덕로193번길 25,129.0184562,35.10198831
멕시칸치킨,부산광역시 서구 충무대로 151-2,129.0246824,35.08417808
치치,부산광역시 서구 구덕로296번길 31,129.0192279,35.11110403
처갓집통닭,부산광역시 서구 천마로 192,129.0222994,35.09268046
처갓집양념치킨(송도점),부산광역시 서구 충무대로 34,129.0168149,35.07848441
바보면가,부산광역시 서구 보수대로242번길 2-1,129.0180276,35.11601777
만월집0501,부산광역시 서구 구덕로296번길 40-1,129.0198096,35.11112617
이가네삼계탕,부산광역시 서구 부용로26번길 21,129.0175601,35.10666513
썬더치킨,부산광역시 서구 충무대로 277,129.0240115,35.09540627
동키치킨,부산광역시 서구 보수대로 248-1,129.017636,35.11628247
네네치킨 부민충무점,부산광역시 서구 구덕로124번길 40,129.0228216,35.0984811
지코바숯불치킨,부산광역시 서구 천마로 230-2,129.0226048,35.09605815
치킨신드롬,부산광역시 서구 천마로 93,129.0211362,35.08472184
맘스터치 서대신점,부산광역시 서구 구덕로321번길 10,129.0160631,35.11241964
일삼오칠구,부산광역시 서구 천마로 220,129.0224172,35.09508622
유림찜닭&수유리혼밥왕,부산광역시 서구 구덕로193번길 12-17,129.0191309,35.10244235
바사삭치킨강정 대신부민점,부산광역시 서구 대영로73번길 39,129.0186003,35.11267776
동대신점굽네치킨,부산광역시 서구 대영로85번길 48,129.0195373,35.11303944
칠칠켄터키,부산광역시 서구 송도해변로 131,129.0211833,35.07795187
대신점굽네치킨,부산광역시 서구 구덕로345번길 13,129.0148008,35.11412487
호식이두마리치킨대신점,부산광역시 서구 보수대로 173,129.0217588,35.11085734
티바두마리치킨,부산광역시 서구 보수대로188번길 20,129.0224572,35.11232074
썬더치킨,부산광역시 서구 대영로45번길 43,129.0153267,35.11142527
본스치킨＆명품명가안동찜닭,부산광역시 서구 망양로33번길 21,129.0126679,35.11374612
맥시칸치킨,부산광역시 서구 보수대로 241-1,129.0173743,35.11552749
노랑통닭(대신점),부산광역시 서구 대영로 70-1,129.0189654,35.11028596
네네치킨대신점,부산광역시 서구 망양로 28,129.0136676,35.11298057
용하 옛날통닭,부산광역시 서구 충무대로267번길 15,129.0231228,35.09450336
땅땅치킨 부산역점,부산광역시 동구 중앙대로209번길 6,129.0395744,35.11611407
태화통닭,부산광역시 동구 정공단로 49,129.0558234,35.13664249
만타스시31 부산진역점,부산광역시 동구 중앙대로371번길 8,129.0482304,35.1289745
멕켄치킨,부산광역시 동구 범곡북로 4,129.0552093,35.14176777
두리아,부산광역시 동구 고관로 135,129.0480617,35.13036411
치킨스트롬,부산광역시 동구 고관로 27,129.0463619,35.12786392
맥시칸양념통닭,부산광역시 동구 성북로 59-1,129.0482969,35.13842958
푸드 메이커,부산광역시 동구 초량로13번길 68,129.0387088,35.11619361
제임스통닭,부산광역시 동구 수정공원남로 32,129.0382893,35.12721232
멕켄치킨,부산광역시 동구 조방로49번길 18-1,129.0599271,35.13916658
돈키돈키치킨,부산광역시 동구 대영로243번길 14,129.0376239,35.11283168
두존치킨,부산광역시 동구 고관로29번길 65,129.0391253,35.12306772
돼지꿈 꾸는날,부산광역시 동구 수정공원남로 45-1,129.0396798,35.12784038
패스에이지(PASSAGE),부산광역시 동구 대영로243번길 87,129.0392853,35.11581008
청춘 닭갈비,부산광역시 동구 초량중로 84,129.0395475,35.11917005
굽네치킨,부산광역시 동구 홍곡로 74,129.0426985,35.12538063
멕시칸치킨,부산광역시 동구 성남이로37번길 24,129.0555342,35.13294928
썬더치킨,부산광역시 동구 범곡북로 3,129.0554165,35.14166681
닭선보는날,부산광역시 동구 망양로 877,129.0479954,35.13888289
옛날시골통닭,부산광역시 동구 초량상로 78-1,129.0383451,35.11864854
옛날통닭,부산광역시 동구 중앙대로371번길 40,129.0468148,35.12981604
노랑통닭(동삼점),부산광역시 영도구 동삼로 37,129.0710271,35.07682725
드루와,부산광역시 영도구 태종로 768,129.0808759,35.06786093
썬더치킨 영도2호점,부산광역시 영도구 동삼로 55,129.0702363,35.07840268
호식이두마리치킨 봉래점,부산광역시 영도구 절영로 121-1,129.0429362,35.08553661
마왕족발 영도점,부산광역시 영도구 남항로 6-1,129.0373322,35.08983938
다;비움,부산광역시 영도구 중리로 46-16,129.0690832,35.0749064
페리카나(동삼점),부산광역시 영도구 태종로 688-2,129.0751772,35.07222036
케네디로즈,부산광역시 영도구 웃서발로 79,129.0708811,35.07907303
수림커피비어,부산광역시 영도구 태종로 71,129.0389146,35.09268326
서민통닭,부산광역시 영도구 동삼서로 46,129.0696702,35.08290568
교촌치킨(봉래 영선점),부산광역시 영도구 한결길 12,129.0448315,35.09140644
티바두마리치킨,부산광역시 영도구 웃서발로 16-1,129.0673135,35.08214225
땡초닭발,부산광역시 영도구 태종로 704,129.0765699,35.07140574
남항점굽네치킨,부산광역시 영도구 절영로93번길 25-1,129.0403641,35.08764999
네네치킨,부산광역시 영도구 남항로 24-2,129.0391329,35.08914788
비비큐,부산광역시 영도구 동삼로28번길 9,129.0720231,35.07668322
멕시카나치킨,부산광역시 영도구 와치로 213,129.0657699,35.07644095
교촌치킨,부산광역시 영도구 태종로 352,129.0636798,35.09532569
드 메르(De Mer),부산광역시 영도구 절영로 15,129.040256,35.09295118
굽네치킨 동삼점,부산광역시 영도구 동삼로 79,129.0703191,35.08053827
호식이두마리치킨,부산광역시 영도구 와치로 171,129.0638735,35.07985592
썬더치킨,부산광역시 영도구 절영로13번길 58-1,129.0431603,35.09193465
BHC(비에이치씨),부산광역시 영도구 남항로 28,129.0393729,35.08904667
청학점 굽네치킨,부산광역시 영도구 태종로 260,129.0563553,35.09800388
고추먹은닭,부산광역시 영도구 동삼로 35,129.0712548,35.07662692
성광 맛횟집,부산광역시 영도구 태종로105번길 40-4,129.0433463,35.09275333
네네치킨영도동삼점,부산광역시 영도구 동삼로59번길 15,129.0695243,35.07845404
자매통닭,부산광역시 영도구 절영로49번길 31,129.0402337,35.08947195
초이스,부산광역시 영도구 동삼로 69-1,129.070154,35.07965636
맛있는 파닭,부산광역시 영도구 청학동로 75,129.0641323,35.09385243
홍콩할매불닭발,부산광역시 영도구 남항새싹길 27,129.0432159,35.0842542
통티닭강정영선점,부산광역시 영도구 절영로 119-1,129.0424432,35.08557691
티바 두마리치킨,부산광역시 영도구 남도여중길 126,129.0451085,35.0873297
효명통닭,부산광역시 영도구 동삼서로 60,129.0710345,35.08325418
소문난 안동찜닭,부산광역시 영도구 조내기로 38,129.0628495,35.08544459
옛날통닭,부산광역시 영도구 남항로41번길 18-4,129.0414591,35.08924508
또봉이통닭,부산광역시 영도구 동삼서로 32,129.0692726,35.08185455
김해통닭,부산광역시 영도구 동삼로 34,129.0715732,35.07666016
멕시카나치킨영선점,부산광역시 영도구 꿈나무길 238,129.0429574,35.08633868
영도불닭&크레이지덕,부산광역시 영도구 동삼북로 3,129.0692224,35.08304485
쌀통닭,부산광역시 영도구 동삼북로 20,129.0706572,35.08207668
달리는꼬꼬,부산광역시 부산진구 연지로 5,129.0504355,35.17074405
썬더치킨신암1호점,부산광역시 부산진구 신암로 73,129.0539405,35.14804353
당감점굽네치킨,부산광역시 부산진구 당감서로 118-1,129.0337742,35.16922001
통큰맘모스치킨,부산광역시 부산진구 백양대로 235,129.0250145,35.15700853
비비큐치킨(BBQ치킨),부산광역시 부산진구 서전로 65,129.0669095,35.15789928
멕시칸통닭,부산광역시 부산진구 연지로 24-1,129.0523866,35.17136708
꼬꼬아찌,부산광역시 부산진구 월드컵대로472번길 66-3,129.048315,35.1851126
처갓집양념치킨연지점,부산광역시 부산진구 성지로 93,129.0529205,35.17870877
투윙닭강정,부산광역시 부산진구 가야대로482번길 27,129.0248055,35.15172812
춘천유가네닭갈비,부산광역시 부산진구 양지로 10,129.0695965,35.16945843
요리하는집,부산광역시 부산진구 당감로64번길 36,129.0406182,35.16789938
닭판오분전,부산광역시 부산진구 양지로 17,129.0700729,35.16895845
칠칠켄터키치킨,부산광역시 부산진구 양지로5번길 19,129.0699945,35.17050953
지코바양정1호점,부산광역시 부산진구 동평로405번길 15,129.0696957,35.17451435
양념치킨가야점,부산광역시 부산진구 가야대로589번길 3,129.0363496,35.15505509
17번지 닭한마리,부산광역시 부산진구 연수로 39,129.0753075,35.1746629
교촌치킨,부산광역시 부산진구 동평로 46,129.0346511,35.16479568
꼬꼬아찌,부산광역시 부산진구 가야대로572번길 105,129.034097,35.14965697
촌닭,부산광역시 부산진구 중앙대로680번가길 38,129.061243,35.15513677
교촌치킨 초읍대공원점,부산광역시 부산진구 새싹로 274-1,129.0474661,35.18057694
양산꼬꼬,부산광역시 부산진구 서면로 52,129.0580398,35.15526397
60계치킨부산양정점,부산광역시 부산진구 연수로 12,129.0726987,35.17329792
부산통닭,부산광역시 부산진구 서면로68번길 38,129.0582259,35.15522629
티바두마리치킨,부산광역시 부산진구 진남로 501-1,129.070732,35.16898867
아메리칸숯불바베큐,부산광역시 부산진구 가야대로703번길 34,129.048654,35.15854563
퓨전포차,부산광역시 부산진구 동평로420번길 11,129.070231,35.17263472
다기야기,부산광역시 부산진구 새싹로 93-9,129.0525233,35.16494798
처갓집양념치킨개금엘지점,부산광역시 부산진구 백양대로 309,129.017745,35.15408628
한방장수식당,부산광역시 부산진구 개금본동로 81-1,129.0217795,35.15635985
멕시칸치킨,부산광역시 부산진구 진남로572번길 9,129.0505398,35.16264864
교촌치킨연지점,부산광역시 부산진구 동평로 299,129.0591835,35.17234436
명인 막국수,부산광역시 부산진구 신암로 74,129.0545994,35.14807384
썬더치킨(양정1호점),부산광역시 부산진구 중앙대로909번길 18,129.0694871,35.17200131
멕시칸치킨,부산광역시 부산진구 새싹로58번길 7,129.0556552,35.16267623
디디씨(DDC)치킨개금점,부산광역시 부산진구 엄광로 19,129.0182992,35.14836675
동근이숯불두마리치킨,부산광역시 부산진구 동평로 131,129.0438476,35.1663482
지코바숯불치킨전포점,부산광역시 부산진구 전포대로210번길 27,129.0670098,35.15549167
동키치킨,부산광역시 부산진구 부전로152번길 37,129.0582952,35.16057094
피자일병치킨병장 놈X4바삭한놈들,부산광역시 부산진구 가야대로703번나길 7,129.0475176,35.15808675
네네치킨,부산광역시 부산진구 범양로 43,129.0629994,35.16864223
네네치킨,부산광역시 부산진구 백양순환로28번길 50,129.0352116,35.16830632
네네치킨,부산광역시 부산진구 냉정로 262-1,129.028526,35.15085825
빨간병아리,부산광역시 부산진구 서면로68번길 46,129.0582876,35.15490125
타코비,부산광역시 부산진구 진남로 494,129.0704796,35.16816163
굽네치킨 부산부암점,부산광역시 부산진구 백양순환로 137-1,129.0410314,35.16845469
지코바숯불치킨,부산광역시 부산진구 백양대로 298,129.0690736,35.17227539
굽네치킨양정점,부산광역시 부산진구 동평로406번길 33,129.0690736,35.17227539
굽네치킨개금1,통닭(치킨),129.0529516,35.18111522
굽네치킨초읍연지점,부산광역시 부산진구 성지로104번길 46,129.0485372,35.15885312
블랙타운치킨호프,부산광역시 부산진구 가야대로703번길 39,129.0532969,35.17894887
비에이치씨초읍연지점,부산광역시 부산진구 성지로 94,129.0581437,35.15565968
서면집,부산광역시 부산진구 서면로 56,129.0366924,35.16735619
꼴까닭앤무봤나촌닭,부산광역시 부산진구 당감서로 77,129.0245682,35.15118929
개금통닭,부산광역시 부산진구 냉정로 227,129.034594,35.14990512
한양왕족발,부산광역시 부산진구 대학로 65-1,129.0233246,35.15878957
네네치킨신개금점,부산광역시 부산진구 개금본동로23번길 22,129.0621194,35.15332629
땅땅치킨서면점,부산광역시 부산진구 중앙대로680번길 52,129.0471591,35.18060664
비비큐,부산광역시 부산진구 새싹로 275,129.0551313,35.1467712
교촌치킨,부산광역시 부산진구 신암로 55-1,129.0562179,35.14508512
맥시칸치킨,부산광역시 부산진구 신암로 34,129.0498166,35.17297586
피자나라치킨공주 부산연지점,부산광역시 부산진구 동평로223번길 95,129.049245,35.17291773
오븐에꾸운닭,부산광역시 부산진구 새싹로 189,129.0506634,35.17053475
멕시카나치킨,부산광역시 부산진구 연지로 6,129.0649826,35.17424045
비에이치씨(BHC)치킨,부산광역시 부산진구 범양로125번길 13,129.0347324,35.14869606
치킨팟,부산광역시 부산진구 대학로 79-2,129.0606483,35.15413242
가라지,부산광역시 부산진구 중앙대로680번가길 15,129.0324347,35.16139833
밴드,부산광역시 부산진구 백양관문로 10,129.0349188,35.16858826
짝꿍두마리치킨,부산광역시 부산진구 당감서로 105,129.0406729,35.16960254
찜비갈등,부산광역시 부산진구 백양순환로 123-1,129.0235101,35.15958123
페리카나개금점,부산광역시 부산진구 개금본동로 32,129.068656,35.17056643
땅땅치킨,부산광역시 부산진구 거제대로22번길 21,129.0489716,35.17385754
썬더치킨초읍자이점,부산광역시 부산진구 새싹로 199,129.0673045,35.15872507
호식이두마리치킨서면전포점,부산광역시 부산진구 서전로67번길 20,129.0368132,35.15353678
썬더치킨,부산광역시 부산진구 대학로 21,129.0491661,35.15312382
현지네분식,부산광역시 부산진구 신암로 145,129.0608666,35.14475601
디디씨치킨범천점,부산광역시 부산진구 중앙번영로 16,129.0631645,35.16193442
땅땅치킨부전전포점,부산광역시 부산진구 중앙대로 786,129.0601856,35.15653418
김치삼겹살,부산광역시 부산진구 서전로10번길 27,129.0588383,35.14659459
치킨,부산광역시 부산진구 중앙대로 604,129.0668532,35.16282137
처갓집양념치킨,부산광역시 부산진구 전포대로 294,129.0351198,35.16366493
비에이치씨(BHC)당감점,부산광역시 부산진구 동평로44번길 62-16,129.0334596,35.15391701
호세야바베큐,부산광역시 부산진구 가야대로 562-1,129.0473686,35.18238057
통큰닭강정(초읍점),부산광역시 부산진구 성지로 160,129.0658646,35.17453014
통큰닭강정(양정점),부산광역시 부산진구 동평로 372,129.0376118,35.16541933
호야불닭발,부산광역시 부산진구 동평로 73-1,129.0723459,35.1773573
스시연,부산광역시 부산진구 동평로405번길 94,129.0409138,35.15579111
처갓집양념치킨 가야점,부산광역시 부산진구 가야대로 631-1,129.0201058,35.15241684
옥,부산광역시 부산진구 복지로 8,129.0685252,35.15303553
이타치,부산광역시 부산진구 동성로30번길 4,129.0696664,35.16976428
호치킨양정역점,부산광역시 부산진구 양지로5번길 2,129.0518082,35.16481899
처갓집양념치킨부암점,부산광역시 부산진구 시민공원로19번길 38-6,129.0254587,35.16179118
교촌치킨 개금1호점,부산광역시 부산진구 백양대로208번길 90,129.0524756,35.17060914
엔더블유푸드(NW FOOD),부산광역시 부산진구 동평로235번길 13,129.0379731,35.17138345
맥시칸치킨,부산광역시 부산진구 당감로 108,129.0350741,35.15141536
국제통닭가야점,부산광역시 부산진구 대학로46번길 5,129.0245698,35.15918466
푸드인더박스,부산광역시 부산진구 개금본동로 20,129.0577953,35.14740595
고향통닭,부산광역시 부산진구 신천대로65번길 64-1,129.0213782,35.15675084
BBQ개금점,부산광역시 부산진구 개금본동로 77,129.054787,35.14730602
네네치킨범천점,부산광역시 부산진구 신암로 66,129.059969,35.16014165
새벽닭 옛날통닭,부산광역시 부산진구 중앙대로755번길 13,129.0589392,35.16029489
안동상회,부산광역시 부산진구 새싹로14번길 29,129.0597649,35.14357582
숙성명가 또돈,부산광역시 부산진구 범일로154번길 8,129.0578253,35.14802765
파더스,부산광역시 부산진구 중앙대로621번길 25,129.0635234,35.16252619
썬더치킨(전포2호점),부산광역시 부산진구 전포대로275번길 53,129.0441518,35.15409563
네네치킨,부산광역시 부산진구 엄광로 321,129.0728248,35.17370243
교촌치킨,부산광역시 부산진구 연수로 13-1,129.0603825,35.15648739
골목,부산광역시 부산진구 동천로85번길 33,129.0688152,35.17182697
1988정통바베큐,부산광역시 부산진구 동평로406번길 44,129.0391343,35.15568021
맘스터치가야역점,부산광역시 부산진구 가야대로 613,129.0615604,35.14325361
지코바양념치킨,부산광역시 부산진구 중앙번영로20번나길 3,129.0672343,35.15923047
치킨명가명성떡볶이,부산광역시 부산진구 전포대로256번길 34-4,129.026315,35.16703905
멕시카나당감점,부산광역시 부산진구 백양관문로 105-32,129.0354678,35.16860159
노랑통닭,부산광역시 부산진구 당감서로 102,129.0536745,35.17758448
60계 초읍연지점,부산광역시 부산진구 성지로 79,129.0290035,35.14781648
조선의옛날통닭 가야점,부산광역시 부산진구 엄광로 127,129.0837563,35.20324256
동래닭갈비,부산광역시 동래구 명륜로94번길 21,129.0844048,35.22225592
비에이치씨(bhc),부산광역시 동래구 온천장로125번길 13-3,129.0864194,35.19624195
굽네치킨(수민점),부산광역시 동래구 온천천로285번길 28,129.0988088,35.1997085
호호닭발 안락점,부산광역시 동래구 충렬대로359번길 41,129.0727623,35.20482788
엄지척 셰프,부산광역시 동래구 충렬대로108번길 42,129.0884445,35.20151486
희망통닭,부산광역시 동래구 명륜로98번길 94,129.091643,35.19844837
맥시칸치킨 낙민점,부산광역시 동래구 충렬대로 318,129.0625699,35.20138444
페리카나치킨,부산광역시 동래구 석사북로 33,129.0881975,35.20440151
맥시칸치킨,부산광역시 동래구 동래로157번길 4,129.0998099,35.20554036
교촌치킨,부산광역시 동래구 충렬사로 81,129.082615,35.2049564
동래지코바,부산광역시 동래구 명륜로 124,129.060341,35.19888012
BHC치킨,부산광역시 동래구 사직북로34번길 6,129.0597858,35.19672166
칠칠켄터키,부산광역시 동래구 사직북로13번길 17,129.058919,35.19677432
멸치쌈밥사량도,부산광역시 동래구 사직북로13번길 34,129.1045411,35.19485191
지붕위에파닭,부산광역시 동래구 충렬대로428번길 35,129.0738746,35.20172625
참오뚜기통닭,부산광역시 동래구 여고로113번길 75,129.1043951,35.20109081
엘엠(LM)푸드,부산광역시 동래구 명안로 51,129.0822606,35.20969183
교촌치킨(명륜점),부산광역시 동래구 명륜로 177,129.0728256,35.20462901
DK치킨,부산광역시 동래구 충렬대로108번길 46,129.0641579,35.21114149
아몬드치킨,부산광역시 동래구 쇠미로235번길 9,129.0758788,35.19965328
트리플에이치푸드,부산광역시 동래구 중앙대로1267번길 33-2,129.0747861,35.21005596
기발한 치킨,부산광역시 동래구 중앙대로1367번길 55,129.083434,35.2004782
썬더치킨(수안1호점),부산광역시 동래구 충렬대로218번길 31,129.0684575,35.20567724
따봉직화구이,부산광역시 동래구 아시아드대로246번길 3,129.0595823,35.19627275
면채움,부산광역시 동래구 사직북로5번길 22,129.0591392,35.20189227
꾸바꾸바치킨점,부산광역시 동래구 쇠미로 115,129.0592596,35.19932226
티바두마리치킨,부산광역시 동래구 사직북로47번길 7,129.0890577,35.20138315
